Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
VANGUARD 2,0.00000334,32.8675,72.9624,0.1468186,48.9964,322.8624,11.85777407
VANGUARD 3,0.00000077,33.3484,253.4554,0.1666325,328.5595,22.5084,11.55804337
EXPLORER 7,0.00000688,50.2843,213.5935,0.0138750,260.4312,98.0933,14.95461086
TIROS 1,-0.00000048,48.3802,53.5357,0.0024091,1.2891,358.8079,14.74414855
TRANSIT 2A,0.00000017,66.6967,355.0752,0.0248283,110.1747,252.6245,14.33711916
SOLRAD 1 (GREB),0.00000059,66.6924,1.7876,0.0217622,279.9448,77.7161,14.49381581
COURIER 1B,0.00000090,28.3278,98.888,0.0164907,252.2506,105.9978,13.4632584
EXPLORER 11,0.00000546,28.7892,24.4686,0.0545951,165.4788,196.2168,14.09166045
TRANSIT 4A,-0.00000052,66.8089,236.1802,0.0074651,175.6487,184.5258,13.91786084
SOLRAD 3/INJUN 1,-0.00000033,66.814,334.6022,0.0079394,196.8527,162.9912,13.89863304
TIROS 3,-0.00000121,47.9009,34.8794,0.0044980,203.3836,156.5011,14.44080424
TRANSIT 4B,0.00000050,32.4366,194.9194,0.0100858,127.5698,233.4133,13.63546875
TRAAC,0.00000045,32.4425,332.4928,0.0102531,274.0936,84.7972,13.62418004
TIROS 4,-0.00000110,48.2981,354.4336,0.0078487,320.2464,39.2701,14.45702501
TIROS 5,-0.00000091,58.0929,7.4042,0.0195195,162.8689,197.9053,14.56896952
FTV 3502,0.00000159,98.4482,10.4722,0.0092467,166.9012,193.4633,14.83827619
TIROS 6,0.00000057,58.3072,18.9322,0.0014320,65.8933,294.3608,14.88545493
ALOUETTE 1 (S-27),0.00000045,80.4666,343.4054,0.0023634,116.6222,243.7351,13.69167154
ANNA 1B,-0.00000112,50.1424,50.8357,0.0070236,112.6553,32.0764,13.35276988
EXPLORER 16,-0.00000114,52.0009,93.1867,0.0278294,117.4432,245.5084,13.85179762
HITCH HIKER 1,0.00009823,81.9843,195.8937,0.0535069,67.1427,298.5348,14.6470768
TRANSIT 5B-1,0.00000073,90.0381,333.0125,0.0043218,93.9862,266.6227,13.44346913
RADIATION SAT (5E 1),0.00000073,90.0389,332.9488,0.0041944,56.4562,304.0581,13.44866226
TRANSIT 5B-2,0.00000036,89.898,87.7085,0.0035685,25.2059,91.5129,13.46861278
TRANSIT 5E 3,0.00000049,89.8982,87.6429,0.0033440,346.3201,175.7723,13.4735671
TIROS 8,-0.00000054,58.4949,239.5931,0.0019842,337.4916,22.525,14.69586845
GGSE 1 (GGRS),-0.00000011,69.91,349.7327,0.0016212,280.8903,79.0378,13.97185124
SECOR 1B,-0.00000036,69.9007,63.7174,0.0014086,350.6311,9.4528,13.94916469
SOLRAD 7A,-0.00000036,69.907,51.8974,0.0015631,313.9948,219.3963,13.95643406
GREB,-0.00000049,69.9074,44.5141,0.0015791,311.0512,48.9228,13.95867238
OPS 3367 A,0.00000016,99.1301,282.4559,0.0013862,315.2899,44.7162,14.28895843
OPS 3367 B,0.00000003,99.1434,276.4027,0.0017557,61.2611,299.033,14.27847589
OPS 4412 (TRANSIT 9),0.00000159,90.5176,83.2381,0.0050941,60.5206,300.1049,14.14703635
OPS 4467 A,0.00000012,99.7768,357.9853,0.0006146,38.7352,321.4262,14.23881062
OPS 4467 B,-0.00000011,99.7866,356.3932,0.0006098,109.471,250.7124,14.23072435
EXPLORER 20,0.00000057,79.9006,193.4716,0.0097048,254.1466,104.8976,13.91174053
COSMOS 44,-0.00000073,65.0605,191.8869,0.0155185,288.1456,70.2799,14.63788773
OPS 5798 (TRANSIT 5B-4,0.00000013,90.175,35.6918,0.0018494,328.167,100.5619,13.53459403
EXPLORER 22,0.00000101,79.6909,52.8933,0.0121864,66.7995,294.5935,13.82166585
CALSPHERE 1,0.00000276,90.1641,33.0495,0.0025448,289.0921,245.4736,13.73504221
CALSPHERE 2,0.00000036,90.176,35.8382,0.0018727,11.154,162.1097,13.52693245
EXPLORER 25 (INJUN-4),0.00000032,81.345,42.0225,0.1130849,262.103,85.0498,12.64065763
OPS 6582 (TRANSIT 5E-5,0.00000079,89.9982,187.324,0.0042952,169.8607,201.2427,13.61663245
EXPLORER 26 (EPE-D),0.00271435,19.7039,287.212,0.0405736,158.1474,203.678,15.17493245
OPS 6582 (TRANSIT 5B-5,0.00000022,90.0257,194.2207,0.0042857,95.4497,325.1378,13.56752979
TIROS 9,0.00000181,96.4006,58.2882,0.1158537,198.8242,156.6379,12.10895911
SECOR 3,-0.00000012,70.0779,285.3016,0.0017664,71.7926,350.8889,13.95612739
