Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
VANGUARD 2,3.34e-06,32.8675,72.9624,1468186.0,48.9964,322.8624,11.85777407
VANGUARD 3,7.7e-07,33.3484,253.4554,1666325.0,328.5595,22.5084,11.55804337
EXPLORER 7,6.88e-06,50.2843,213.5935,138750.0,260.4312,98.0933,14.95461086
TIROS 1,-4.8e-07,48.3802,53.5357,24091.0,1.2891,358.8079,14.74414855
TRANSIT 2A,1.7e-07,66.6967,355.0752,248283.0,110.1747,252.6245,14.33711916
SOLRAD 1 (GREB),5.9e-07,66.6924,1.7876,217622.0,279.9448,77.7161,14.49381581
COURIER 1B,9e-07,28.3278,98.888,164907.0,252.2506,105.9978,13.4632584
EXPLORER 11,5.46e-06,28.7892,24.4686,545951.0,165.4788,196.2168,14.09166045
TRANSIT 4A,-5.2e-07,66.8089,236.1802,74651.0,175.6487,184.5258,13.91786084
SOLRAD 3/INJUN 1,-3.3e-07,66.814,334.6022,79394.0,196.8527,162.9912,13.89863304
TIROS 3,-1.21e-06,47.9009,34.8794,44980.0,203.3836,156.5011,14.44080424
TRANSIT 4B,5e-07,32.4366,194.9194,100858.0,127.5698,233.4133,13.63546875
TRAAC,4.5e-07,32.4425,332.4928,102531.0,274.0936,84.7972,13.62418004
TIROS 4,-1.1e-06,48.2981,354.4336,78487.0,320.2464,39.2701,14.45702501
TIROS 5,-9.1e-07,58.0929,7.4042,195195.0,162.8689,197.9053,14.56896952
FTV 3502,1.59e-06,98.4482,10.4722,92467.0,166.9012,193.4633,14.83827619
TIROS 6,5.7e-07,58.3072,18.9322,14320.0,65.8933,294.3608,14.88545493
ALOUETTE 1 (S-27),4.5e-07,80.4666,343.4054,23634.0,116.6222,243.7351,13.69167154
ANNA 1B,-1.12e-06,50.1424,50.8357,70236.0,112.6553,32.0764,13.35276988
EXPLORER 16,-1.14e-06,52.0009,93.1867,278294.0,117.4432,245.5084,13.85179762
HITCH HIKER 1,9.823e-05,81.9843,195.8937,535069.0,67.1427,298.5348,14.6470768
TRANSIT 5B-1,7.3e-07,90.0381,333.0125,43218.0,93.9862,266.6227,13.44346913
RADIATION SAT (5E 1),7.3e-07,90.0389,332.9488,41944.0,56.4562,304.0581,13.44866226
TRANSIT 5B-2,3.6e-07,89.898,87.7085,35685.0,25.2059,91.5129,13.46861278
